ChEMBL,text,labels
CHEMBL103160,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCN1CCCCC1)C(C)C,1
CHEMBL3958809,COCCCNc1nc(C(C)(C)C)ncc1C(=O)N(CC(C)C)[C@@H]1CNC[C@H](C(=O)N2CCOCC2)C1,1
CHEMBL2204330,CC[C@H](C)[C@H](NC(=O)[C@@H](NC[C@@H]1COCCCCCCCN(C(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)[C@@H](C)C(=O)N1)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)OC,1
CHEMBL3143478,CC(C)CCNC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CC[C@H](N)C(=O)O)C(C)C,1
CHEMBL3143008,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H]1COC(=O)CCC[C@H](CN2CCOCC2)OC(=O)[C@H](O)[C@H](CC2CCCCC2)NC1=O,1
CHEMBL496416,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCO)c2cccc(Cl)c2)C1,1
CHEMBL496417,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2ccccc2)C1,1
CHEMBL519687,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(F)c2F)C1,1
CHEMBL495809,CCOCCCC[C@@](O)(c1ccccc1)[C@@H]1CCCN(C(=O)N[C@H](CN)CC2CCCCC2)C1,1
CHEMBL443253,CCCC[C@H](NC(=O)[C@@H]1[C@@H](S(=O)(=O)C(C)C)[C@H]1c1ccccc1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CC(C)C,1
CHEMBL3142779,COC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)CCNC(=O)OCc1ccccc1,1
